"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEX","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1_1","BP1_7_1_2","BP1_7_1_3","BP1_7_1_4","BP1_7_1_5","BP1_7_1_6","BP1_7_2_1","BP1_7_2_2","BP1_7_2_3","BP1_7_2_4","BP1_7_2_5","BP1_7_2_6","BP1_7_3_1","BP1_7_3_2","BP1_7_3_3","BP1_7_3_4","BP1_7_3_5","BP1_7_3_6","BP1_7_4_1","BP1_7_4_2","BP1_7_4_3","BP1_7_4_4","BP1_7_4_5","BP1_7_4_6","BP1_7_5_1","BP1_7_5_2","BP1_7_5_3","BP1_7_5_4","BP1_7_5_5","BP1_7_5_6","BP1_7_6_1","BP1_7_6_2","BP1_7_6_3","BP1_7_6_4","BP1_7_6_5","BP1_7_6_6","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP1_10_1","BP1_10_2","BP1_10_3","BP1_10_4","BP1_10_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188.049
","0100188.049.03
","0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","1
","38
","1
","1
","3
","1
","3
","3
","3
","3
","3
","3
","3
","3
","3
","4
","2
","1
","1
","2
","2
","2
","1
","2
","3
","2
","2
","3
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","1
","1
","2
","2
","1
","1
","1
","2
","1
","1
","1
","1
","1
","1
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","2
","
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","4046
","U
","3
","00010
","1390
"
"0100188.072
","0100188.072.06
","0100188
","02
","06
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","1
","36
","2
","1
","2
","1
","3
","1
","1
","2
","2
","2
","1
","2
","1
","3
","1
","2
","1
","1
","2
","2
","2
","2
","1
","1
","2
","3
","2
","2
","2
","2
","2
","2
","1
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","3
","2
","1
","1
","1
","2
","2
","1
","1
","1
","1
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","1
","0
","1
","1
","0
","0
","0
","4
","2
","
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","6069
","U
","3
","00010
","1390
"
"0100188.093
","0100188.093.03
","0100188
","03
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","1
","48
","2
","1
","1
","2
","3
","3
","1
","2
","2
","3
","2
","2
","2
","4
","1
","2
","1
","2
","2
","1
","2
","2
","1
","2
","1
","3
","3
","2
","2
","1
","2
","2
","1
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","1
","0
","0
","0
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","0
","0
","1
","0
","1
","1
","1
","1
","2
","3
","2
","2
","2
","
","4
","3
","3
","2
","
","1
","0
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","1
","1
","0
","0
","0
","0
","0
","1
","1
","1
","1
","0
","0
","0
","4
","2
","
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3035
","U
","3
","00010
","1390
"
"0100188.111
","0100188.111.01
","0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","1
","2
","69
","2
","2
","3
","2
","3
","2
","3
","3
","3
","3
","2
","3
","3
","4
","1
","1
","1
","2
","1
","1
","2
","2
","3
","1
","3
","3
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","2
","2
","2
","1
","2
","
","
","
","4
","
","
","
","
","4
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","0
","0
","0
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","4
","2
","
","2
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3035
","U
","3
","00010
","1390
"
"0100295.009
","0100295.009.01
","0100295
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","1
","63
","1
","1
","2
","1
","3
","3
","3
","2
","3
","3
","2
","2
","2
","3
","1
","1
","1
","2
","1
","2
","2
","2
","1
","2
","2
","1
","2
","2
","1
","2
","2
","2
","2
","
","
","
","
","
","
","0
","0
","1
","0
","0
","0
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","1
","1
","1
","3
","2
","2
","1
","2
","2
","2
","2
","2
","2
","1
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","1
","0
","0
","1
","0
","1
","0
","1
","0
","0
","0
","0
","3
","2
","
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1704
","U
","4
","00020
","1400
"
"0100295.039
","0100295.039.02
","0100295
","03
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","2
","36
","2
","1
","1
","2
","3
","2
","2
","2
","2
","2
","2
","2
","2
","4
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","1
","1
","2
","1
","1
","4
","4
","
","4
","3
","4
","4
","
","4
","3
","1
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","1
","1
","0
","0
","0
","1
","0
","0
","1
","0
","1
","1
","0
","0
","0
","4
","2
","
","2
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1704
","U
","4
","00020
","1400
"
"0100295.080
","0100295.080.02
","0100295
","05
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","1
","43
","2
","2
","2
","2
","3
","2
","1
","2
","2
","2
","2
","2
","2
","3
","1
","1
","1
","1
","1
","1
","2
","2
","1
","1
","1
","3
","3
","1
","1
","1
","1
","2
","1
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","0
","0
","
","
","
","
","
","
","1
","1
","0
","0
","1
","0
","1
","1
","1
","1
","1
","4
","4
","2
","1
","1
","4
","4
","2
","2
","1
","1
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","1
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","1
","1
","1
","1
","0
","1
","0
","0
","1
","1
","1
","1
","0
","0
","0
","4
","1
","1
","2
","
","2
","2
","2
","1
","2
","2
","2
","1
","2
","1704
","U
","4
","00020
","1400
"
"0100295.104
","0100295.104.07
","0100295
","04
","07
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","1
","2
","-
","5
","2
","46
","2
","2
","3
","2
","3
","2
","2
","2
","2
","2
","2
","2
","2
","4
","1
","2
","1
","2
","2
","2
","2
","2
","2
","1
","2
","1
","2
","1
","1
","1
","2
","2
","1
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","
","
","
","
","
","
","
","
","
","
","
","
","0
","0
","1
","0
","0
","0
","2
","1
","2
","1
","1
","
","2
","
","2
","2
","
","3
","
","2
","2
","1
","0
","0
","0
","0
","1
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","1
","1
","1
","0
","1
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","3
","2
","
","2
","
","2
","2
","2
","2
","2
","1
","2
","2
","2
","852
","U
","4
","00020
","1400
"
"0100391.122
","0100391.122.01
","0100391
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","1
","-
","5
","2
","29
","1
","1
","1
","1
","3
","3
","1
","2
","2
","3
","1
","1
","3
","3
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","2
","1
","2
","1
","2
","
","3
","
","2
","
","
","3
","
","3
","
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","1
","1
","0
","1
","1
","0
","0
","0
","1
","1
","1
","1
","0
","0
","0
","4
","1
","2
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","766
","U
","3
","00030
","1390
"
"0100391.329
","0100391.329.02
","0100391
","04
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0420
","01
","0
","0
","-
","5
","2
","46
","1
","1
","1
","1
","3
","1
","1
","3
","3
","3
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","0
","1
","0
","0
","0
","0
","2
","1
","1
","1
","1
","
","3
","1
","1
","1
","
","2
","2
","2
","2
","1
","1
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","1
","0
","0
","0
","0
","0
","0
","1
","0
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","0
","1
","1
","1
","0
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","3
","1
","2
","2
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2297
","U
","3
","00030
","1390
"
