"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","BP4_2","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100114.0021.01","0100114.0021.01.02","0100114","01","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","31","1","1","2","2","3","1","1","2","2","2","1","2","1","3","2","2","1","2","2","2","2","2","1","1","1","1","3","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","2","1","2","1","3","1","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","4","2","2","2","2","1","1036","2072","U","4","00001","0001"
"0100114.0050.02","0100114.0050.02.05","0100114","02","05","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","1","1","-","3","2","28","2","1","1","2","3","1","1","1","2","2","2","2","2","4","2","2","2","2","2","2","2","2","1","1","1","3","3","0","0","1","0","0","0","0","1","0","0","1","0","0","0","2","1","1","1","1","1","","","3","3","2","2","2","2","2","2","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","4","1","3","3","3","2","1036","2072","U","4","00001","0001"
"0100114.0082.03","0100114.0082.03.01","0100114","03","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","43","1","2","3","2","3","2","1","1","2","1","1","2","1","3","1","1","1","2","2","1","2","2","1","1","1","1","3","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","1","1","1","1","2","2","3","3","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","1","1","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","2","2","2","3","3","1","1036","2072","U","4","00001","0001"
"0100114.0119.04","0100114.0119.04.02","0100114","04","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","44","1","1","1","1","3","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","1","1","0","1","1","1","1","1","0","0","0","3","2","3","3","3","2","1036","2072","U","4","00001","0001"
"0100114.0150.05","0100114.0150.05.01","0100114","05","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","1","46","1","1","1","2","3","1","1","1","2","1","1","2","1","4","1","2","1","2","2","2","2","2","2","2","2","2","3","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","3","3","2","3","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","1","1","3","3","2","1036","2072","U","4","00001","0001"
"0100152.0024.51","0100152.0024.51.02","0100152","51","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","31","2","1","1","2","3","2","1","2","2","3","1","2","1","3","1","1","2","1","1","2","2","2","2","2","2","2","2","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","2","2","4","2","3","2","985","1970","U","2","00002","0002"
"0100152.0116.54","0100152.0116.54.04","0100152","54","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","21","1","1","1","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","1","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","","","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","4","2","2","3","3","2","985","3940","U","2","00002","0002"
"0100152.0148.55","0100152.0148.55.01","0100152","55","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","1","66","1","1","3","2","3","2","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","1","2","2","2","2","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","2","2","2","1","2","1","1","2","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","0","0","2","1","1","2","2","2","985","1970","U","2","00002","0002"
"0100169.0014.51","0100169.0014.51.02","0100169","51","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","4","2","57","1","1","3","1","3","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","4","1","2","1","1","2","1057","3171","U","3","00003","0003"
"0100169.0038.52","0100169.0038.52.02","0100169","52","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","4","2","38","1","1","1","2","3","1","1","1","2","2","1","2","1","4","2","1","2","1","1","2","2","2","1","2","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","3","1","2","2","2","2","1057","2114","U","3","00003","0003"
"0100169.0056.53","0100169.0056.53.07","0100169","53","07","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","1","-","4","1","60","1","1","1","1","3","1","1","3","3","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","2","2","2","2","2","1057","3171","U","3","00003","0003"
