"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"1","0100071.006","0100071.006.01","0100071","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"1","56","2","2","3","2","3","1","2","1","1","1","1","2","1","4","1","1","1","1","1","2","2","1","1","2","1","3","2","2","2","1","2","2","2","1","1","1","1","1","4","4","2","1","1","4","4","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","0","0","0","0","0","1","1","1","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",1032,1032,"U","2","00001","0137"
"2","0100071.033","0100071.033.03","0100071","02","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"2","34","1","1","1","1","3","1","1","3","1","1","2","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","","","1","1","","","","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1032,3097,"U","2","00001","0137"
"3","0100071.115","0100071.115.01","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",1,"1","42","1","1","1","1","3","1","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1032,2065,"U","2","00001","0137"
"4","0100075.042","0100075.042.02","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",5,"2","34","2","1","2","2","3","2","1","2","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",1126,2252,"U","3","00002","0138"
"5","0100075.063","0100075.063.02","0100075","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,2,"-",5,"2","62","2","1","3","2","3","1","1","3","3","3","1","3","1","3","1","1","2","1","1","2","2","2","2","2","2","3","2","2","1","2","2","2","2","2","2","2","1","2","","","","3","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","0","1","1","1","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","3",1126,3378,"U","3","00002","0138"
"6","0100075.085","0100075.085.01","0100075","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",5,"1","49","2","1","1","2","3","2","2","2","2","2","2","2","2","3","1","1","2","1","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","1","0","1","0","1","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1126,1126,"U","3","00002","0138"
"7","0100134.036","0100134.036.05","0100134","01","05","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",1,1,"-",3,"1","72","2","2","3","2","3","3","1","2","2","3","2","3","3","3","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","","3","2","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",1025,2051,"U","3","00003","0138"
"8","0100134.064","0100134.064.02","0100134","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"2","50","1","1","1","1","3","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","3","2","9","2","9","3","2","9","2","9","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",1025,3076,"U","3","00003","0138"
"9","0100134.087","0100134.087.01","0100134","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"1","37","2","2","2","2","3","2","1","2","2","3","2","2","2","4","2","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","4","4","2","1","1","4","4","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","4","1","2","1","1","2","2","2","2","2","2","2","2","2","1",1025,2051,"U","3","00003","0138"
"10","0100134.110","0100134.110.02","0100134","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0222","01",0,0,"-",3,"2","73","1","1","3","1","3","1","1","3","3","3","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","","","3","2","1","","","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1025,3076,"U","3","00003","0138"
